titleId_x,primaryName,Steven Spielberg,Joel Coen,Ethan Coen,Martin Scorsese,Ridley Scott,Tim Burton,Quentin Tarantino,Ron Howard,Stanley Kubrick,Richard Donner,Christopher Nolan,Oliver Stone,Guy Ritchie,David Lynch,Peter Jackson,Francis Ford Coppola,Alfred Hitchcock,Wilfred Jackson,John Carpenter,Clint Eastwood,Danny Boyle,Hayao Miyazaki,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres_y,titleId_y,ordering,title_y,region,averageRating_y,numVotes_y,genres_uniques,genres2,decade,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
tt2883512,Jon Favreau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Chef,Chef,0,2014,\N,114,"Adventure,Comedy,Drama",tt2883512,3.0,Chef,FR,7.3,206356,multi-genres,Adventure,2010,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2884018,Justin Kurzel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Macbeth,Macbeth,0,2015,\N,113,"Drama,History,War",tt2884018,5.0,Macbeth,FR,6.6,54782,multi-genres,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
tt2884206,Mike Cahill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,I Origins,I Origins,0,2014,\N,106,"Drama,Mystery,Romance",tt2884206,18.0,I Origins,FR,7.4,120493,multi-genres,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
tt2888046,Wilson Yip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Ip Man 3,Yip Man 3,0,2015,\N,105,"Action,Biography,Drama",tt2888046,4.0,Ip Man 3,FR,7.1,52700,multi-genres,Action,2010,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2891070,Thomas Lilti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Hippocrates: Diary of a French Doctor,Hippocrate,0,2014,\N,102,Drama,tt2891070,13.0,Hippocrate,FR,6.8,2929,genres uniques,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2891174,Ramin Bahrani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,99 Homes,99 Homes,0,2014,\N,112,Drama,tt2891174,25.0,99 Homes,FR,7.1,32305,genres uniques,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2896036,David Trueba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Living Is Easy with Eyes Closed,Vivir es fácil con los ojos cerrados,0,2013,\N,108,"Comedy,Drama",tt2896036,21.0,Vivre est facile avec les yeux fermés,FR,7.0,6002,multi-genres,Comedy,2010,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2901736,Anthony Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Ilo Ilo,Ilo Ilo,0,2013,\N,99,Drama,tt2901736,9.0,Ilo Ilo,FR,7.3,4590,genres uniques,Drama,2010,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2905772,Onur Ünlü,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Thou Gild'st the Even,Sen Aydinlatirsin Geceyi,0,2013,\N,107,"Drama,Fantasy,Romance",tt2905772,2.0,Tu illumines la nuit,FR,7.9,9670,multi-genres,Drama,2010,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
tt2909116,Jean-Jacques Annaud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,movie,Wolf Totem,Le dernier loup,0,2015,\N,121,"Adventure,Drama",tt2909116,29.0,Le dernier loup,FR,6.7,5775,multi-genres,Adventure,2010,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
